"","logFC","logCPM","F","PValue","FDR"
"CMTM3",2.73192066313517,4.27881215519661,25.1716549786612,0.000253821410195359,0.000530959211013014
"RPS19BP1",1.38063710564213,4.4625055720648,25.0242603396994,0.000253907170504083,0.000531053024998871
"CBX6",0.804257633354042,6.82663246799666,24.9798348445376,0.000254249686779529,0.000531683733590832
"CSKMT",-1.71336039536008,2.95812508979023,24.017211990317,0.000254418260020337,0.000531950550106955
"RIC3",-1.31855587299722,4.63166290955906,25.0351713646851,0.000254666904358832,0.000532384670410314
"BUD23",1.04462907672071,5.26335363806389,24.9764805331015,0.000254763059290874,0.000532499921029877
"NDUFA3",1.34961350249575,3.95337784549823,25.049255228897,0.000255210084481211,0.000533348397450671
"ZBTB7B",1.5878642587909,4.90243507690757,24.973953422134,0.000255429208911997,0.000533720401107167
"KIF27",-1.6694771236588,4.79680519319133,25.0126549023545,0.000256079421743739,0.000534992901051623
"ZZEF1",-1.09663538709305,7.20489029361675,24.9277755794558,0.000256589391425465,0.000535972047103724
"CNKSR2",-1.07982302638488,3.95021035701932,25.074162495943,0.000257071637300453,0.000536887483039548
"C12orf42",-1.5727562390429,2.02490368133825,20.3032352438447,0.000257110369381651,0.000536887483039548
"PLEKHB2",-0.602881929382368,6.8424508217812,24.9041021429986,0.000257663490418328,0.000537955944286618
"FOXK1",1.22109046332937,5.4167850766203,24.9063245740204,0.000257861785336003,0.00053828336662292
"SERINC2",3.37870742565924,3.44474339062173,23.8796975527508,0.000258123397120423,0.000538742835604292
"MCAM",1.1331967556286,4.34627670065386,24.9281902269878,0.000258251571822569,0.000538868877735471
"SDAD1",1.1094368964497,5.56878729500264,24.89550541733,0.000258266817287548,0.000538868877735471
"GTPBP10",0.898054417059098,4.93422622513297,24.9021427394713,0.000258317533318119,0.000538888071756538
"TFG",0.943581200507993,6.55049042857697,24.8780194589988,0.000258860597067428,0.000539934203749833
"PTTG1IP",1.08837538917812,5.79226339567558,24.8717136061804,0.000259271479069446,0.000540704337776576
"ZSCAN20",-0.910891077655899,4.59688907056735,24.9040329062521,0.000259610866884632,0.000541325148941771
"YIPF3",1.02643458921085,4.89153431815072,24.8736284448193,0.000259686366472866,0.000541395605014102
"ZNF619",1.39038019518565,3.25327510464859,25.1174972209263,0.000259763326932077,0.000541469083600187
"ZNF35",-0.98037225056138,4.7946440573187,24.8772654961046,0.000260326054606553,0.00054255494360839
"PHF21A",-0.686840792822949,6.55795564250278,24.8153948579564,0.000261727968068479,0.000545389151634108
"MYB",1.3183931095804,4.02626915068755,24.8882524641992,0.000261875546627399,0.000545609084305561
"MYCBPAP",-1.75974364453108,2.93532436701227,23.7027845347968,0.000262034628159348,0.000545852908603488
"ATP6V0A1",0.705566004332704,6.43821281462097,24.80293349119,0.000262298802482894,0.000546315541756735
"UBAC2",1.10454559104332,3.84732753549946,24.8914426120696,0.000262458690152382,0.000546560853229251
"CDK8",0.935372402866013,4.25685183417471,24.8202169660629,0.000263272199986746,0.000548167012484435
"ZSWIM3",1.18027227116656,2.73257591121587,25.0166860255489,0.000264284747038853,0.00055016113629773
"ANTXR2",1.22730653779315,4.27416979636329,24.8034167076962,0.000264332791334112,0.00055016113629773
"WBP1L",-0.66346225663252,5.86106736205352,24.7620098631179,0.00026435708837357,0.00055016113629773
"COMMD5",1.72434205377122,2.93061644589048,24.8686559118268,0.000264989767104451,0.000551389416001246
"SMDT1",1.44948022179047,4.37099458610387,24.7876269936159,0.000265082745054674,0.00055149447520591
"CTSZ",1.73912163098103,5.10261007414682,24.745204744347,0.00026573551719468,0.000552700660484049
"COPRS",2.43706239702776,3.37516318188229,24.7759654227025,0.000265747675044757,0.000552700660484049
"ATP11A",-1.58256431950062,6.74362632990303,24.7193088843162,0.000266257532543543,0.000553672344186989
"ASCC1",0.76382673598707,5.52081509469985,24.7201655332344,0.000266345242442375,0.000553766017443862
"RPL7P1",2.18733340668243,2.20318907355424,21.9043683784643,0.000266483509348772,0.000553964758383577
"MEMO1",1.35940149978957,5.34691896070959,24.7067314996858,0.00026715066962017,0.000555262720843845
"PNKD",2.66858448093557,5.27050369057273,24.7351753778618,0.000267206329837609,0.000555289491081037
"SPAG5",0.74070287206342,6.53161418625303,24.6921329777215,0.000267464609592423,0.000555737255083985
"EFCAB13",-1.32823218074488,3.65626602001148,24.8838303621023,0.000267831704594558,0.000556410935601371
"XRN1",0.968440852631395,7.18001160183464,24.6744818397655,0.000268255203547727,0.000557171914247173
"R3HCC1",1.28509668000371,3.70306758037824,24.808358047088,0.00026828385701424,0.000557171914247173
"TAF4B",1.17225898147857,5.54630497351297,24.6687933936737,0.000268803734744205,0.000558162290350309
"TIMM10",1.09379569093975,4.15938112068273,24.7043851056909,0.000269250066083151,0.000558999657351137
"TDG",0.927622676116579,5.76602134367817,24.6549940721977,0.000269355129876782,0.000559128352119085
"ENTREP1",-2.86725857192544,2.22294505892497,19.7635824399847,0.000269590128285144,0.000559526681346526
